ahn	gen	id	mh	name	sex	born	born_place	died	died_place	cause	burial	occupation	spouses	living	n_notes	sources
		@I1872@	MH:I1872	Thomas (Francis) D'Arcy	M	BET 24 NOV 1681 AND 21 JUL 1710	St. James Palace, London, Middlesex, Englan	ABT 21 JUL 1776					Margaret? D'Arcy		1	Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1028942_OYYV6ZA4P6JVB64FWNJP2WEVFUBFHTA_OYYV6ZA4P6JVB64FWNJP2WEVFUBFHTA/thomas-francis-darcy | Defranceski Family Site (23andMe) — https://www.myheritage.com/person-5560408_OYYV6GBNOYZ3O7RH4DLDSBJMAC35DTY_OYYV6GBNOYZ3O7RH4DLDSBJMAC35DTY/thomas-darcy
		@I3456@	MH:I3456	George Schomberg d'Arcy	M	14 APR 1716	London, Middlesex, England, Kingdom of Great Britain	TO 20 JAN 1722	(vp)						0	Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1502622_OYYV675MR6T7BWIC2OAYSNTUKVHCALI_OYYV675MR6T7BWIC2OAYSNTUKVHCALI/lord-george-darcy-of-holderness | FamilySearch Family Tree — https://www.myheritage.com/research/record-40001-484269680/george-schomberg-darcy-in-familysearch-family-tree
		@I3457@	MH:I3457	Caroline Louisa D'ARCY	F	1717	Westminster St James, Middlesex, England, Kingdom of Great Britain	15 NOV 1778	of England				William Henry Kerr (m. 1735)		1	Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1501439_OYYV675MR6T7BWIC2OAYSNTUKVHCALI_OYYV675MR6T7BWIC2OAYSNTUKVHCALI/lady-louisa-caroline-kerr-4th-marquess-of-lothian-kerr-marchioness | Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1019756_OYYV6ZA4P6JVB64FWNJP2WEVFUBFHTA_OYYV6ZA4P6JVB64FWNJP2WEVFUBFHTA/caroline-louisa-kerr-born-darcy | Defranceski Family Site (23andMe) — https://www.myheritage.com/person-5555665_OYYV6GBNOYZ3O7RH4DLDSBJMAC35DTY_OYYV6GBNOYZ3O7RH4DLDSBJMAC35DTY/lady-caroline-louisa-kerr-born-darcy | FamilySearch Family Tree — https://www.myheritage.com/research/record-40001-472581569/lady-caroline-louisa-kerr-born-darcy-in-familysearch-family-tree
		@I502165@	MH:I502165	Thomas D'Arcy	M	7 MAY 1750	Hornby, Yorkshire, England	27 JUL 1750	Westminster, London, England		the Great or St. James Church in The Hague, the Netherlands				0	Darcy Web Site — Thomas (Hon) D'Arcy | Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1501399_OYYV6IFNIMLNWA7HWKXEBL33D6Q4V2Y_OYYV6IFNIMLNWA7HWKXEBL33D6Q4V2Y/thomas-darcy-lord-darcy-conyers | Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1517582_OYYV6LTVSJBKOCKZNTUPLFJAV6UNTYY_OYYV6LTVSJBKOCKZNTUPLFJAV6UNTYY/thomas-lord-darcy-conyers-darcy | Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1004635_OYYV7SX36SGJCT5OXRLLYZTY2ELEJ4Q_OYYV7SX36SGJCT5OXRLLYZTY2ELEJ4Q/thomas-darcy
		@I1059@	MH:I1059	Robert D'Arcy	M	1751	North Yorkshire, England, United Kingdom	13 MAY 1827	Chatham, Medway, England, United Kingdom		Chatham, Medway, England, United Kingdom	Army Officer, Major General and Commander of Royal Engineers, Chatham, Kent, England	Jean Ward (m. June 21 1779)		1	Donna Spencer Web Site — Maj Gen Robert D'Arcy | Defranceski Family Site (23andMe) — https://www.myheritage.com/person-7076357_OYYV6JAY4KPAOFJVHU63KKQVW3VR47Q_OYYV6JAY4KPAOFJVHU63KKQVW3VR47Q/maj-gen-robert-darcy | Defranceski Family Site (23andMe) — https://www.myheritage.com/person-17004578_OYYV7BO3D3TL7Z2SE5JKKPXLNNLBVRY_OYYV7BO3D3TL7Z2SE5JKKPXLNNLBVRY/major-general-robert-darcy | Geni World Family Tree — https://www.myheritage.com/research/record-40000-127261658/robert-darcy-in-geni-world-family-tree
		@I1874@	MH:I1874	Constantine D'Arcy	M	1759	Barbados, Caribbean	1778	Chatham, Kent, England		Chatham, UK	Royal Engineer 2lt West Indies	McCann		1	Hallett Web Site — constantine d`arcy | Geni World Family Tree — https://www.myheritage.com/research/record-40000-127960537/constantine-darcy-in-geni-world-family-tree
		@I500700@	MH:I500700	Robert Edward D'Arcy	M	1777		1827							0	Hallett Web Site — Robert Edward D'Arcy
		@I1061@	MH:I1061	Joseph D'Arcy	M	14 MAR 1780	Portsmouth, Hampshire	17 FEB 1848	Lymington, Hampshire			Colonel, Royal Artillery	"""Aelar"" Unknown Georgian Lady | Catherine Georgiana West (m. NOV 1817) | Catherine LUCY Eliza Hyde (m. 11 NOV 1830)"		1	Barnett Web Site — Col. Joseph D'Arcy
		@I1062@	MH:I1062	Margaret Maria Isabella D'Arcy	F	26 SEP 1781	Portsmouth, Hampshire, England	1843	England, United Kingdom				Maj. John Maddock Jones (m. 23 OCT 1806)		1	
		@I647@	MH:I647	George Pitt D'Arcy	M	18 FEB 1783	Portsmouth, Hampshire, England or West Indies	22 JUL 1849	Parramatta, New South Wales, Australia		Australia	Army Officer, Major in 39th Battallion of Foot	Maria (Catherine) Whiite (m. 1810) | Maria or Mary Le Meassier (m. 1810)		1	Australia Deaths and Burials, 1816-1980 — https://www.myheritage.com/research/record-30218-18820/george-pitt-darcy-in-australia-deaths-burials | Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1500825_OYYV64Y2BUSCRD27QROJ6FGVLCO73UI_OYYV64Y2BUSCRD27QROJ6FGVLCO73UI/george-pitt-darcy
